display_name,county_name,homeless_k12_avg,homeless_k12_2020,LEVEL,bedscode
Hempstead Union Free School District,NASSAU,1305.33,785.0,UNSD,280201030000
William Floyd Union Free School District,SUFFOLK,542.0,459.0,UNSD,580232030000
Brentwood Union Free School District,SUFFOLK,522.0,411.0,UNSD,580512030000
Longwood Central School District,SUFFOLK,322.33,302.0,UNSD,580212060000
Riverhead Central School District,SUFFOLK,286.67,247.0,UNSD,580602040000
Central Islip Union Free School District,SUFFOLK,230.67,199.0,UNSD,580513030000
Amityville Union Free School District,SUFFOLK,207.67,193.0,UNSD,580106030000
Sachem Central School District,SUFFOLK,199.33,173.0,UNSD,580205060000
Copiague Union Free School District,SUFFOLK,193.67,149.0,UNSD,580105030000
Farmingdale Union Free School District,NASSAU,191.33,197.0,UNSD,280522030000
Wyandanch Union Free School District,SUFFOLK,186.0,137.0,UNSD,580109020000
Patchogue-Medford Union Free School District,SUFFOLK,180.33,165.0,UNSD,580224030000
Roosevelt Union Free School District,NASSAU,177.0,148.0,UNSD,280208030000
Uniondale Union Free School District,NASSAU,170.67,295.0,UNSD,280202030000
Freeport Union Free School District,NASSAU,170.33,158.0,UNSD,280209030000
South Country Central School District,SUFFOLK,167.0,145.0,UNSD,580235060000
Bay Shore Union Free School District,SUFFOLK,149.0,108.0,UNSD,580501030000
Middle Country Central School District,SUFFOLK,115.33,119.0,UNSD,580211060000
Sewanhaka Central High School District (elem + high),NASSAU,111.67,92.0,SCSD,280252070000
West Babylon Union Free School District,SUFFOLK,111.0,98.0,UNSD,580102030000
